Beneficial owner's Country ,Beneficial owner of the ship,Name of ship ,IMO  number,Last flag,Destination yard,Commercial operator ,Registered owner ,Built in (y),Sold for ($/ldt),Ldt (light displacement ton),Type of ship,Single hulled,Unnamed: 13
Algeria,International Bulk Carrier S.p.A. ,Beena,7705635,Cambodia,"Alang, India",International Bulk Carrier S.p.A. ,International Bulk Carrier S.p.A. ,1978,432,20586,Bulker,Y,
Australia,Bluescope Steel Limited,Iron Monarch,7305502,Australia,"Alang, India",Bluescope Steel Limited,Bluescope Steel (AIS) Proprietary Limited,1973,unknown,unknown,RoRo,N,
Bahamas,Teekay Corporation,Akarita,9000948,Bahamas,"Alang, India",Teekay Marine Services AS ,Delphine Shipping Incorporated,1991,496,17081,Crude Oil Tanker,N,
Bahrain,Abdulla Ahmed Nass,Amsterdam,6607525,Bahrain,"Alang, India",Abdulla Ahmed Nass,Gulf Development Corporation E.C. ,1966,unknown,unknown,Tug,Y,
Bangladesh,Silvia Shipmanagement Limited ,Eagle N.,8401353,Panama,"Alang, India",Silvia Shipmanagement Limited ,Union Care Investments Limited ,1985,unknown,unknown,Bulker,Y,
Belgium,Trireme Vessel Management N.V.,Indian Ocean,8613011,Bahamas,"Alang, India",Trireme Vessel Management N.V.,Indian Ocean Shipping Limited ,1989,405,6805,Reefer,Y,
Belgium,Maritec N.V. ,Hardt,7387017,Equatorial Guinea,"Alang, India",Maritec N.V. ,Actinor Shipping S.A. ,1975,unknown,2677,Asphalt Tanker,N,
Bermuda,B+H Ocean Carriers Limited ,Saraswati,9036507,St Kitts-Nevis,"Alang, India",B+H Ocean Carriers Limited ,Sakonnet Shipping Limited ,1993,unknown,unknown,Bulk and oil carrier,N,
Brazil,Transroll Navegacao S.A.,Ipanema,9007269,Brazil,"Alang, India",Transroll Navegacao S.A.,Transroll Navegacao S.A.,1992,unknown,unknown,RoRo,Y,
Brazil,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Boucas,8501799,Tanzania,"Alang, India",Petrobras Transporte S.A. (TRANSPETRO) ,Petrobras Transporte S.A. (TRANSPETRO) ,1989,unknown,unknown,Product tanker,Y,
Bulgaria,Government of Bulgaria ,Kamenitza,8006256,Bulgaria,"Alang, India",Navigation Maritime Bulgare Limited (NAVIBULGAR) ,Navigation Maritime Bulgare Limited (NAVIBULGAR) ,1980,unknown,7636,Bulker,Y,
Bulgaria,Government of Bulgaria ,Okoltchitza,8120375,Bulgaria,"Alang, India",Navigation Maritime Bulgare Limited (NAVIBULGAR) ,Navigation Maritime Bulgare Limited (NAVIBULGAR) ,1982,unknown,7836,Bulker,Y,
Bulgaria,Government of Bulgaria ,Plovdiv,8912479,Bulgaria,"Alang, India",Navigation Maritime Bulgare Limited (NAVIBULGAR) ,Plovdiv Maritime Limited ,1989,unknown,6635,Containership,N,
Bulgaria,Government of Bulgaria ,Teteven,8915861,Bulgaria,"Alang, India",Navigation Maritime Bulgare Limited (NAVIBULGAR) ,Sofia Shipping Limited ,1990,355,4528,General Cargo ship,N,
Bulgaria,Cosmos Shipping AD,Kaliakra,8222599,Malta,"Alang, India",Cosmos Shipping AD,Kaliakra Limited ,1984,473,7755,Bulker,Y,
Cayman Islands,Siem Industries Incorporated,Napier,9038933,Comoros,"Alang, India",Siem Shipping Incorporated ,Star Reefers Shipowning Incorporated ,1994,576,5288,Reefer,N,
Cayman Islands,Siem Industries Incorporated,Argentina,8814304,Liberia,"Alang, India",Siem Shipping Incorporated ,Star Reefers Shipowning Incorporated ,1992,unknown,unknown,Reefer,Y,
Chile,Empresa Maritima S.A.,Don Raul,8307870,Panama,"Alang, India",Empresa Maritima S.A.,Empresa Maritima S.A.,1985,320,7292,Bulker,Y,
Chile,Government of Chile,Arau,6615106,Sierra Leone,"Alang, India",Government of Chile,Government of Chile,1967,unknown,unknown,Product tanker,Y,
China,Nanjing Ocean Shipping Company Limited,Yong An Men,8811704,China,"Alang, India",Nanjing Ocean Shipping Company Limited,Xing Zhong Men Shipping ,1990,375,9210,RoRo,Y,
China,Centrans Ocean Shipping Logistics Group,MSC Sarawak,8124917,Hong Kong,"Alang, India",Tianjin Centrans Shipping Management Company Limited ,Venus Shipping Company Limited ,1983,480,14544,Containership,Y,
China,China Ocean Shipping (Group) Company (COSCO),Shao Shan 1,8401767,Hong Kong,"Alang, India",Hunan Ocean Shipping Company (COSCO Hunan) ,Shao Shan Shipping Company Limited ,1984,485,7989,Bulker,Y,
China,Hong Kong Qinfa Shipping Limited ,Qinfa 9,8913942,Hong Kong,"Alang, India",Hong Kong Qinfa Shipping Limited ,Perpetual Goodluck Limited ,1990,unknown,12157,Bulker,N,
China,View Marine Limited,Vista,8323472,Marshall Islands,"Alang, India",View Marine Limited,View Marine Limited,1987,465,unknown,Bulker,N,
China,ATL Shipping Limited,Jasmin,8314457,Panama,"Alang, India",ATL Shipping Limited,Frankseddy Management Incorporated ,1985,403,10328,Bulker,N,
China,China Ocean Shipping (Group) Company (COSCO),Aonoble,8706624,Panama,"Alang, India",COSCO Shanghai Ship Management Company Limited (COSHIPMAN) ,Aonoble Shipping Company Limited ,1988,420,13990,Bulker,N,
China,Evergood Shipping Limited,SC Excellent,7932616,Panama,"Alang, India",Evergood Shipping Limited,Evergood Shipping Limited,1981,unknown,unknown,Bulker,N,
China,Hengfa Shipping Incorporated ,Chang Tai,8322856,Panama,"Alang, India",Hengfa Shipping Incorporated ,Big Good Group Limited ,1984,unknown,unknown,General cargo ship,Y,
