BO Country ,Beneficial owner of the ship,Name of ship ,IMO  number,Last flag,Next to last,Date of change,Commercial operator,Registered owner,Destination yard,Beaching date,Built in (y),Type of ship,Sub-type of ship,LDT,USD/ton
Australia,Alcoa of Australia Limited ,Lindesay Clark,8407424,Australia ,,,Alcoa of Australia Limited ,Alcoa of Australia Limited ,"Gaolan, China ",2013-09-12 00:00:00,1985,Bulker,,6726,
Bahrain ,Uco Marine Contracting W.L.L.,Loop,7374060,Bahrain ,,,Uco Marine Contracting W.L.L.,Uco Marine Contracting W.L.L.,"Alang, India",2013-10-23 00:00:00,1975,Bulker,Wood-Chip Carrier,,
Bangladesh,Alunited Maritime Pvt Ltd,Mikaeel,8219358,Bangladesh,,,Alunited Maritime Pvt Ltd,Alunited Maritime Pvt Ltd,"Chittagong, Bangladesh",2013-05-09 00:00:00,1986,Bulker,,,
Bangladesh,Brave Royal Shipping Limited,Fatema Jahan,8128688,Bangladesh ,,,Brave Royal Ship Management Limited ,S.R. Shipping Limited ,"Chittagong, Bangladesh",2013-09-05 00:00:00,1985,Bulker,,8900,
Bangladesh,Brave Royal Shipping Limited,Bright Royal,8406913,Panama ,,,Brave Royal Ship Management Limited ,Vanguard (HK) Limited ,"Xinhui, China",2013-12-31 00:00:00,1985,Bulker,,,
Bermuda,Berge Bulk Limited ,Berge Phoenix,8406406,Isle of Man ,,,Berge Bulk (Norway) AS ,Berge Phoenix Company S.A. ,"Alang, India",2013-12-31 00:00:00,1986,Bulker,,,
Bermuda,Ship Finance International Limited ,Front Guider,9002740,Singapore,,,Ship Finance International Limited ,Transcorp Private Limited ,"Chittagong, Bangladesh",2013-03-14 00:00:00,1991,Bulker,,,
Bermuda,B+H Ocean Carriers Ltd,Searose G,9050096,Bahamas,,,B+H Ocean Carriers Ltd,BHOBO Three Limited ,"Gadani, Pakistan",2013-03-05 00:00:00,1994,Bulker,,,
British Virgin Islands,Binny Shipping Limited (BVI),Nirmal Priti,8317461,Panama ,,,Binny Shipping Limited (BVI),Binny Shipping Limited (BVI),"Alang, India",2013-10-23 00:00:00,1985,Bulker,,8090,
Bulgaria,Government of Bulgaria,Koznitsa,8325901,Bulgaria,,,Navigation Maritime Bulgare Limited (NAVIBULGAR) ,Navigation Maritime Bulgare Limited (NAVIBULGAR) ,"Alang, India",2013-04-03 00:00:00,1984,Bulker,,,
Bulgaria,Government of Bulgaria,Malyovitza,8203359,Bulgaria ,,,Navigation Maritime Bulgare Limited (NAVIBULGAR) ,Navigation Maritime Bulgare Limited (NAVIBULGAR) ,"Alang, India",2013-08-02 00:00:00,1983,Bulker,,7819,
Bulgaria,Government of Bulgaria,Alexander Dimitrov,8417766,Bulgaria ,Malta,2013-02-01 00:00:00,Navigation Maritime Bulgare Limited (NAVIBULGAR) ,Tzarevetz Maritime Limited ,"Chittagong, Bangladesh",2013-09-23 00:00:00,1985,Bulker,,9522,
Bulgaria,Government of Bulgaria,Baltic Star,8417754,Bulgaria ,,,Navigation Maritime Bulgare Limited (NAVIBULGAR) ,Navigation Maritime Bulgare Limited (NAVIBULGAR) ,"Chittagong, Bangladesh",2013-08-16 00:00:00,1985,Bulker,,9502,
Bulgaria,Government of Bulgaria,Yordan Lutibrodski,8515532,Bulgaria,,,Navigation Maritime Bulgare Limited (NAVIBULGAR) ,Sakar Maritime Limited ,"Chittagong, Bangladesh",2013-03-28 00:00:00,1986,Bulker,,,
Canada,Algoma Central Corporation,Ovi,5407277,Sierra Leone ,Canada,2013-06-09 00:00:00,Algoma Central Corporation,Algoma Central Corporation,"Aliaga, Turkey",2013-05-22 00:00:00,1963,Bulker,,,
Canada,CSL Group Incorporated ,CSL Bergen,8315566,Malta ,,,CSL Norway AS ,CSL Europe Limited ,"Aliaga, Turkey",2013-04-23 00:00:00,1985,Bulker,,,
Canada,CSL Group Incorporated,Richelieu,7901150,Canada ,,,CSL Group Incorporated ,The Canada Steamship Lines Incorporated ,"Aliaga, Turkey",2013-10-02 00:00:00,1980,Bulker,,,
Canada,CSL Group Incorporated,Saguenay,7910175,Canada ,,,CSL Group Incorporated,CSL Group Incorporated,"Aliaga, Turkey",2013-12-05 00:00:00,1981,Bulker,,,
Canada,4475364 Canada Incorporated,Phoenix Star,6821937,Canada,,,4475364 Canada Incorporated,4475364 Canada Incorporated,"Toledo, Ohio, United States of America",2013-09-09 00:00:00,1968,Bulker,,,
Canada,CSL Group Incorporated,CSL Atlantic,8103171,Malta ,,,CSL Australia Proprietary Limited ,CSL Pacific Shipping Incorporated ,"Xinhui, China",2013-12-31 00:00:00,1981,Bulker,,,
Canada,CSL Group Incorporated,CSL Cabo,7117278,Liberia ,,,CSL Australia Proprietary Limited ,Atlasco Shipping Limited ,"Xinhui, China",2013-11-14 00:00:00,1971,Bulker,,,
China,Glory Ships Company Limited,Infinite,8200266,Sierra Leone ,Panama,2013-06-12 00:00:00,Glory Ships Company Limited,Infinite Hope Private Limited ,"Alang, India",2013-06-27 00:00:00,1984,Bulker,,8770,
China,Xiamen Lianghui Ship Management Company Limited,Tango,7712688,Comoros ,Panama,2013-07-08 00:00:00,Xiamen Lianghui Ship Management Company Limited,Xiang An Shipping Company Limited ,"Alang, India",2013-08-07 00:00:00,1979,Bulker,,7469,370
China,Fuzhou Wanfu Ship Management,Fu Sheng Hai,9071703,Panama,,,Fuzhou Wanfu Ship Management,Lixon Maritime Private Limited ,"Busan, South Korea",2013-07-17 00:00:00,1993,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Tai Bai Hai,8318269,China ,,,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,China,2013-11-30 00:00:00,1984,Bulker,,,
China,Fujian Shipping Company (FUSCO),Jin Bin,8402852,China ,,,Fujian Shipping Company (FUSCO),Fujian Shipping Company (FUSCO),China,2013-01-01 00:00:00,1986,Bulker,,,
China,Ningbo Economic & Technological Development Zone Longsheng Shipping Company Limited ,Guo Yuan 11,7518329,China ,,,Ningbo Economic & Technological Development Zone Longsheng Shipping Company Limited ,Ningbo Economic & Technological Development Zone Longsheng Shipping Company Limited ,China,2013-01-01 00:00:00,1975,Bulker,,,
China,Ningbo Marine (Group) Company Limited ,Ming Zhou 29,8523149,China ,,,Ningbo Marine (Group) Company Limited ,Ningbo Marine (Group) Company Limited ,China,2013-12-03 00:00:00,1985,Bulker,,,
China,Zhejiang Shipping Group Company Limited,Zhe Hai 128,8405361,China ,,,Zhejiang Shipping Group Company Limited,Wenzhou Shipping Company Limited ,China,2013-06-30 00:00:00,1985,Bulker,,,
China,Changning Shipping Company Limited,Warrior I,8102737,Panama,,,Changning Shipping Company Limited,Sinowin Shipping Company Limited ,"Chittagong, Bangladesh",2013-05-12 00:00:00,1983,Bulker,,7935,
China,China Ocean Shipping (Group) Company (COSCO),Aowisdom,8716320,Panama ,,,COSCO Shanghai Ship Management Company Limited (COSHIPMAN) ,Aowisdom Shipping Company Limited ,"Chittagong, Bangladesh",2013-07-05 00:00:00,1988,Bulker,,10431,
