VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,FLAG,OWNERSHIP,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,DESTINATION,Unnamed: 13,Unnamed: 14
NAME,IMO#,TYPE,GT,BUILT,LAST FLAG,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,DATE SOLD FOR BREAKING,PLACE,COUNTRY,ARRIVAL 
Frosina,7125196,General Cargo,2757,1971,San Marino,Globex Sh P K ,Albania,Globex Sh P K ,Globex Sh P K ,Albania,2016-11-02 00:00:00,Aliaga,Turkey,2016-11-03 00:00:00
Luena ,8706088,Combined Chemical And Oil Tanker,22733,1990,Niue,Sociedade Nacional de Combustiveis de Angola EP (SONANGOL)  ,Angola,Sociedade Nacional de Combustiveis de Angola EP (SONANGOL)  ,SONANGOL Shipping Ngol Luena  ,Malta,2016-05-11 00:00:00,Gadani,Pakistan,2016-05-21 00:00:00
Trident  ,8808537,Product Tanker,19034,1997,Djibouti,Trans-Ona S.A.M.C.I.F.  ,Argentina,Trans-Ona S.A.M.C.I.F.  ,Trans-Ona S.A.M.C.I.F.  ,Argentina,2016-03-24 00:00:00,Gadani,Pakistan,2016-05-14 00:00:00
Cent,8203309,Bulk Carrier With Container Capacity,13004,1982,Palau,Maritima Maruba SCA (Sociedad en Comandita por Acciones) ,Argentina,Maritima Maruba SCA (Sociedad en Comandita por Acciones) ,Maritima Maruba SCA (Sociedad en Comandita por Acciones) ,Argentina,2016-08-29 00:00:00,Alang,India,2016-10-05 00:00:00
Austral Leader II,7382770,Trawler,1045,1975,Australia,Austral Fisheries Proprietary Limited  ,Australia,Austral Fisheries Proprietary Limited  ,Austral Fisheries Proprietary Limited  ,Australia,2016-04-02 00:00:00,Alang,India,2016-04-09 00:00:00
UK Sea,8509117,Bulk Carrier,23262,1988,Togo,Alcoa of Australia Limited  ,Australia,Alcoa of Australia Limited  ,Alcoa of Australia Limited  ,Australia,2016-03-20 00:00:00,Gadani,Pakistan,2016-04-02 00:00:00
Seahorse Spirit ,7623904,Diving Support,2090,1980,Tuvalu,Commonwealth Government of Australia  ,Australia,DMS Maritime Proprietary Limited  ,DMS Maritime Proprietary Limited  ,Australia,2016-07-16 00:00:00,Alang,India,2016-07-22 00:00:00
Infinity,8311376,General Cargo ,10576,1986,Bangladesh,AK Ship Management & Services (Private) Limited ,Bangladesh,AK Ship Management & Services (Private) Limited ,Grandeur Shipping Lines Limited ,Bangladesh,2016-03-02 00:00:00,Chittagong,Bangladesh,2016-03-31 00:00:00
Bashundhara 2,8316223,Bulk Carrier,27535,1986,Bangladesh,Bashundhara Group ,Bangladesh,Bashundhara Logistics Limited ,East West Property Development (Private) Limited ,Bangladesh,2015-12-02 00:00:00,Chittagong,Bangladesh,2016-01-03 00:00:00
Banglar Kakoli,7611602,General Cargo With Container Capacity,12521,1979,Bangladesh,Government of Bangladesh  ,Bangladesh,Bangladesh Shipping Corporation  ,Bangladesh Shipping Corporation  ,Bangladesh,2016-05-23 00:00:00,Chittagong,Bangladesh,2016-07-25 00:00:00
Bear Hunter,9292254,Fully Cellular Containership,54519,2004,Hong Kong,Delphis N.V. ,Belgium,Delphis N.V. ,Bear Hunter Limited ,Hong Kong,2016-10-13 00:00:00,Chittagong,Bangladesh,2016-11-23 00:00:00
Bull Hunter,9292242,Fully Cellular Containership,54519,2004,Liberia,Delphis N.V. ,Belgium,Delphis N.V. ,Bull Hunter Limited ,Hong Kong,2016-10-13 00:00:00,Chittagong,Bangladesh,2016-11-24 00:00:00
Sanderus,6829795,Trailing Suction Hopper Dredger,4740,1967,Mauritius,Jan De Nul Group ,Belgium,Port Louis Maritime Corporation Limited ,Port Louis Maritime Corporation Limited ,Mauritius,2016-12-26 00:00:00,Ghent,Belgium,2016-12-31 00:00:00
Water,9175066,Bulk Carrier,85695,1999,Niue,CMB N.V. S.A. ,Belgium,Bocimar Belgium N.V. ,Bocimar Belgium N.V. ,,2016-01-20 00:00:00,Chittagong,Bangladesh,2016-02-27 00:00:00
Spring Bay,8604606,Reefer,3999,1987,St. Kitts-Nevis,Euro Marine Services B.V.B.A. ,Belgium,Euro Marine Services B.V.B.A. ,Juno Shipping Company Limited ,Belize,2016-07-12 00:00:00,Alang,India,2016-10-19 00:00:00
Methani,7357452,Liquid Natural Gas Carrier,81792,1978,St. Kitts-Nevis ,Exmar N.V.  ,Belgium,Exmar Marine N.V.  ,Distrigas LNG Shipping NV  ,Belgium,2016-06-02 00:00:00,Aliaga,Turkey,2016-06-07 00:00:00
Swan Arrow,8512970,Bulk Carrier With Container Capacity,28805,1987,Bahamas,Gearbulk Holding Limited ,Bermuda,Gearbulk Holding Limited ,Gearbulk Shipowning Limited ,Bermuda,2016-02-03 00:00:00,Alang,India,2016-03-10 00:00:00
Tsuru Arrow,8512968,Bulk Carrier With Container Capacity,28805,1987,Bahamas,Gearbulk Holding Limited  ,Bermuda,Gearbulk Holding Limited  ,Gearbulk Shipowning Limited  ,Bermuda,2016-03-20 00:00:00,Alang,India,2016-04-06 00:00:00
Harefield,8308159,General Cargo With Container Capacity,27818,1985,Bahamas,Gearbulk Holding Limited  ,Bermuda,Gearbulk Holding Limited  ,Gearbulk Shipowning Limited  ,Bermuda,2016-07-31 00:00:00,Alang,India,2016-09-21 00:00:00
Berge Matterhorn,9113915,Bulk Carrier,87743,1996,Isle of Man,Berge Bulk Limited ,Bermuda,Berge Bulk (Norway) AS ,Dillingham Company S.A. ,Isle of Man,2016-01-20 00:00:00,Chittagong,Bangladesh,2016-03-16 00:00:00
Siteam Anja,28027,Combined Chemical And Oil Tanker,28027,1997,Marshall Islands,Team Tankers International Limited ,Bermuda,Team Tankers Management AS ,Team Tankers Deep Sea Limited ,Bermuda,2016-07-12 00:00:00,Aliaga,Turkey,2016-09-07 00:00:00
Renuar,9042221,Bulk Carrier,38520,1993,Panama,Excel Maritime Carriers Limited ,Bermuda,Excel Maritime Carriers Limited ,Candy Enterprises Incorporated ,Greece,2015-12-03 00:00:00,Gadani,Pakistan,2015-12-04 00:00:00
