VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,FLAG,Unnamed: 7,NAME,OWNERSHIP,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,DESTINATION,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
NAME,IMO#,TYPE,GT,LDT,BUILT,LAST FLAG ,PREVIOUS FLAG,FORMER NAME,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL ,,"*The data gathered by the NGO Shipbreaking Platform is sourced from different outlets and stakeholders, and is cross-checked whenever possible.
The data upon which this information is based is correct to the best of the Platform’s knowledge, and the Platform takes no responsibility for the accuracy of the information provided. 
The Platform will correct or complete data if any inaccuracy is signaled. All data which has been provided is publicly available and does not reveal any confidential business information."
TAMGOUT,9120425,Chemical/Products Tanker,3116,,1995,Algeria,,,Nolis-Spa,Algeria,Nolis-Spa,Nolis-Spa,Algeria,Aliaga,Turkey,2019-12-01 00:00:00,,
EMY,7396733,Platform Supply Ship,1176,,1976,Unknown,,,Sapolo Oil Company Srl,Angola,Unknown,Unknown,Unknown,Unknown,Netherlands,2019-07-01 00:00:00,,
LUI TIDE,9231080,Supply Ship (O.R.S.V.),1970,,2001,Vanuatu,,,SONANGOL,Angola,Sonatide Marine Services Ltd,Sonatide Marine Ltd,Cayman Islands,Unknown,Namibia,2019-02-01 00:00:00,,
CANDY,9005479,LPG Tanker,3693,2476,1992,Tanzania (Zanzibar),,,Milano Shipping Limited,Anguilla,Milano Shipping Ltd,Milano Shipping Ltd,Anguilla,Aliaga,Turkey,2019-07-01 00:00:00,,
CHL INNOVATOR,7342469,Refined Sugar Carrier,19426,,1976,Singapore,,,TNT Shipping & Development,Australia,CHL Shipping BV,Commodity Handling Pte Ltd,Singapore,Aliaga,Turkey,2019-04-01 00:00:00,,
CHALLENGER,7403483,Anchor Handling Tug Supply,701,795,1975,Comoros,Bahrain,,Awal Contracting & Trading Co,Bahrain,Awal Contracting & Trading Co,Awal Contracting & Trading Co,Bahrain,Gadani,Pakistan,2019-07-01 00:00:00,,
BRAMCO 1,8814639,Bulk Carrier,26162,9024,1990,Belize,Bahrain,,Bramco WLL,Bahrain,Bramco WLL,Bramco WLL,Bahrain,Chittagong,Bangladesh,2019-12-01 00:00:00,,
HARRIER,7529952,Tug,949,1051,1977,Liberia,,,Dona Marine Company WLL,Bahrain,Oil Marketing Corp BSC,Dona Marine Co WLL,Bahrain,Alang,India,2019-04-01 00:00:00,,
AVONMOOR,9145279,Container Ship (Fully Cellular),7171,4170,1998,Bahrain,,,Tylos Shipping & Marine Servs,Bahrain,CMA CGM SA The French Line,Tylos Shipping & Marine Servs,Bahrain,Aliaga,Turkey,2019-06-01 00:00:00,,
SOLO,9075670,Bulk Carrier,38779,10642,1994,Palau,Hong Kong,Solomon Trader,AK Ship Management & Services,Bangladesh,Talent Mile Ltd,Talent Mile Ltd,British Virgin Islands,Chittagong,Bangladesh,2019-10-01 00:00:00,,
CRYSTAL GOLD,8400244,Bulk Carrier,16608,5687,1986,Bangladesh,,,Mariners Associates CTG Ltd,Bangladesh,Crystal Navigations Ltd,IG Navigations Ltd,Bangladesh,Chittagong,Bangladesh,2019-07-01 00:00:00,,
ATLANTICO DUE,7606293,Hopper/Dredger,4722,,1977,Belgium,,,DEME Group,Belgium,Dredging International NV,Societe de Dragage Luxembourg,Luxembourg,Ghent,Belgium,2019-03-01 00:00:00,,
MARONI,8002078,Tanker,25738,8948,1981,Panama,,,ERES NV,Belgium,Maritec NV,Maroni Shipping SA,Panama,Chittagong,Bangladesh,2019-01-01 00:00:00,,
BERGE DENALI,9000998,Ore Carrier,155656,38381,1992,Panama,,,Berge Bulk Ltd,Bermuda,Berge Bulk Maritime Pte Ltd,Kempford Co SA,Panama,Chittagong,Bangladesh,2019-03-01 00:00:00,,
BERGE MANASLU,9000352,Ore Carrier,146817,40158,1992,Panama,,,Berge Bulk Ltd,Bermuda,Berge Bulk Maritime Pte Ltd,Ridgely Co SA,Panama,Chittagong,Bangladesh,2019-04-01 00:00:00,,
BERGE BUREYA,9036454,Ore Carrier,155823,37818,1993,Unknown,Isle of Man,,Berge Bulk Ltd,Bermuda,Berge Bulk Maritime Pte Ltd,BC Enterprise Co SA,Panama,Chittagong,Bangladesh,2019-11-01 00:00:00,,
BERGE VINSON,8800286,Ore Carrier,155708,37863,1990,Panama,,,Berge Bulk Ltd,Bermuda,Berge Bulk Maritime Pte Ltd,Berge Vinson Co SA,Panama,Chittagong,Bangladesh,2019-12-01 00:00:00,,
BRIGHT WORLD,9125114,Chemical/Products Tanker,12140,6398,1997,Panama,,,BW Group Ltd,Bermuda,BW Maritime Pte Ltd,Osmond Co SA,Panama,Alang,India,2019-04-01 00:00:00,,
BOLD WORLD,9141417,Chemical/Products Tanker,12141,6581,1998,Panama,,,BW Group Ltd,Bermuda,Womar Logistics Pte Ltd,Linkdale Co SA,Panama,Alang,India,2019-05-01 00:00:00,,
BELL,7708314,"FSO, Oil",188728,52224,1980,Palau,Panama,Belokamenka,BW Group Ltd,Bermuda,BW Offshore Norway AS,BW Offshore Norway AS,Norway,Alang,India,2019-05-01 00:00:00,,
BW HELIOS,8912182,Liquefied Gas Tanker,34974,16094,1992,Marshall Islands,Norway,,BW LPG Holding Ltd,Bermuda,BW Gas AS,BW Cyan Ltd,Bermuda,Alang,India,2019-01-01 00:00:00,,
ORE GUAIBA,9174646,Bulk Carrier,86192,22522,1999,Singapore,,,Vale SA,Brazil,Vale SA,Vale Shipping Holding Pte Ltd,Singapore,Chittagong,Bangladesh,2019-04-01 00:00:00,,
ORE MOATIZE,9120803,Bulk Carrier,77255,18403,1997,Singapore,,,Vale SA,Brazil,Vale SA,Vale Shipping Holding Pte Ltd,Singapore,Alang,India,2019-08-01 00:00:00,,
ORE BAYOVAR,9157686,Bulk Carrier,90876,22165,1998,Singapore,,,Vale SA,Brazil,Vale SA,Vale Shipping Holding Pte Ltd,Singapore,Chittagong,Bangladesh,2019-11-01 00:00:00,,
AMO,8618891,Crude/Oil Products Tanker,27793,9550,1989,St Kitts & Nevis,Panama,Samo C,Bratina Corporation Limited,British Virgin Islands,Caroil Transport Marine Ltd,Samo Navigation Ltd,Isle Of Man,Chittagong,Bangladesh,2019-04-01 00:00:00,,
HAI DUONG 06,8216590,Tug/Supply Ship (O.R.S.V.),738,767,1983,Panama,,,Dang Development Investment,British Virgin Islands,HD Marine Corp,Dang Development Investment,British Virgin Islands,Chittagong,Bangladesh,2019-02-01 00:00:00,,
LAM HONG,8517645,Tug/Supply Ship (O.R.S.V.),1256,1367,1987,Panama,,,Dang Development Investment,British Virgin Islands,HD Marine Corp,Dang Development Investment,British Virgin Islands,Chittagong,Bangladesh,2019-02-01 00:00:00,,
