VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,FLAG,Unnamed: 7,OWNERSHIP,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,DESTINATION,Unnamed: 14,Unnamed: 15,Unnamed: 16,"*The data gathered by the NGO Shipbreaking Platform is sourced from different outlets and stakeholders, and is cross-checked whenever possible.
The data upon which this information is based is correct to the best of the Platform’s knowledge, and the Platform takes no responsibility for the accuracy of the information provided. 
The Platform will correct or complete data if any inaccuracy is signaled. All data which has been provided is publicly available and does not reveal any confidential business information."
IMO#,NAME,TYPE,GT,LDT,BUILT,LAST FLAG,PREVIOUS FLAG,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL ,,
7724253,OTTO,Rail Vehicles Carrier,5309,3605,1978,Cameroon,,Shega-Group SA,Albania,Shega-Group SA,Shega Trans SA,Albania,Aliaga,Turkey,2020-01-01 00:00:00,,
7118181,EDARTE,General Cargo Ship,1227,902,1971,Cameroon,,Vital Shipping Co,Albania,Vital Shipping Co,Vital Shipping Co,Albania,Aliaga,Turkey,2020-08-01 00:00:00,,
7624037,SOM GOLD,Trailing Suction Hopper Dredger,4284,3703,1979,St Kitts & Nevis,Bahrain,Dream Group WLL,Bahrain,Nass Dredging Co SPC,Nass Dredging Co SPC,Bahrain,Gadani,Pakistan,2020-10-01 00:00:00,,
8407280,GRAND ROYAL,Bulk Carrier,22155,6960,1987,Bangladesh,,Mariners Associates CTG Ltd,Bangladesh,Vanguard Maritime Ltd,Vanguard Maritime Ltd,Bangladesh,Chattogram,Bangladesh,2020-05-01 00:00:00,,
9077252,CROWN VICTORY,Bulk Carrier,28818,8572,1994,Bangladesh,,Ocean Victory Shipping Lines,Bangladesh,Ocean Victory Shipping Lines,Ocean Victory Shipping Lines,Bangladesh,Chattogram,Bangladesh,2020-12-01 00:00:00,,
7816288,PANTAGRUELE,Trailing Suction Hopper Dredger,2570,,1979,Belgium,,DEME Group,Belgium,Decloedt en Zoon NV,Decloedt en Zoon NV,Belgium,Ghent,Belgium,2020-08-01 00:00:00,,
8515520,ORWELL,Trailing Suction Hopper Dredger,2598,,1987,Belgium,,DEME Group,Belgium,Decloedt en Zoon NV,Decloedt en Zoon NV,Belgium,Gijon,Spain,2020-09-01 00:00:00,,
8113293,BLUE MOON,General Cargo Ship,4018,2002,1983,Togo,,Al Mounir Maritime Co Ltd,Belize,Al Mounir Maritime Co Ltd,Al Mounir Maritime Co Ltd,Belize,Gadani,Pakistan,2020-09-01 00:00:00,,
7508300,VERACRUZ,Refrigerated Cargo Ship,3755,2414,1977,Moldova,,Atlantico Ltd,Belize,Atlantico Ltd,Atlantico Ltd,Belize,Alang,India,2020-12-01 00:00:00,,
7800306,STAR B,General Cargo Ship,8205,4690,1979,Comoros,,Sky Blue Shipping Co SA,Belize,Sky Blue Shipping Co SA,Sky Blue Shipping Co SA,Belize,Gadani,Pakistan,2020-10-01 00:00:00,,
9201695,BERGE EIGER,Bulk Carrier,83849,20251,2000,Isle Of Man,,Berge Bulk Ltd,Bermuda,Berge Bulk Maritime Pte Ltd,Berge Eiger Co Inc,Marshall Islands,Chattogram,Bangladesh,2020-03-01 00:00:00,,
9223590,BERGE AORAKI,Bulk Carrier,87322,21221,2000,Isle Of Man,,Berge Bulk Ltd,Bermuda,Berge Bulk Maritime Pte Ltd,Berge Aoraki Co SA,Panama,Chattogram,Bangladesh,2020-03-01 00:00:00,,
9112090,BERGE ENTERPRISE,Bulk Carrier,108083,25285,1997,Isle Of Man,,Berge Bulk Ltd,Bermuda,Berge Bulk Maritime Pte Ltd,SG Enterprise Co SA,Panama,Chattogram,Bangladesh,2020-02-01 00:00:00,,
9036442,KIBO,Ore Carrier,155823,37363,1993,St Kitts & Nevis,Isle of Man,Berge Bulk Ltd,Bermuda,Berge Bulk Maritime Pte Ltd,BC Prosperity Co SA,Panama,Gadani,Pakistan,2020-12-01 00:00:00,,
8902424,BERGE ELBRUS,Ore Carrier,155626,38047,1991,Panama,,Berge Bulk Ltd,Bermuda,Berge Bulk Maritime Pte Ltd,Marsnow Co SA,Panama,Chattogram,Bangladesh,2020-01-01 00:00:00,,
9035450,BERGE HUA SHAN,Ore Carrier,150170,40393,1993,Isle Of Man,,Berge Bulk Ltd,Bermuda,Berge Bulk Maritime Pte Ltd,Berge Hua Shan Co SA,Panama,Chattogram,Bangladesh,2020-01-01 00:00:00,,
7347433,MSS2,"Drilling Rig, semi Submersible",10958,,1977,Cameroon,Liberia,Borr Drilling Ltd,Bermuda,PETROBRAS,Paragon Drilling Services 7,United States Of America,Aliaga,Turkey,2020-02-01 00:00:00,,
8752790,MSS1,"Drilling Rig, semi Submersible",20067,18553,1981,Liberia,,Borr Drilling Ltd,Bermuda,TAQA Global,Paragon Asset Co Ltd,Cayman Islands,Aliaga,Turkey,2020-09-01 00:00:00,,
7920508,PETROJARL CIDADE DE RIO DAS OSTRAS,"FPSO, Oil",26940,13610,1981,Panama,Bahamas,Altera Infrastructure,Bermuda,PETROBRAS,TPO Siri LLC,Marshall Islands,Alang,India,2020-04-01 00:00:00,,
9197715,NAVION BERGEN,Shuttle Tanker,56734,17195,2000,Panama,Bahamas,Altera Infrastructure,Bermuda,TRANSPETRO,Unknown,Unknown,Alang,India,2020-08-01 00:00:00,,
9168922,NAVION HISPANIA,Shuttle Tanker,72132,26653,1999,Bahamas,,Altera Infrastructure,Bermuda,Altera Infrastructure Norway,Altera Shuttle Loading Pte Ltd,Singapore,Aliaga,Turkey,2020-01-01 00:00:00,,
7390739,APOLLO SPIRIT,"FSO, Oil",89421,32083,1983,Liberia,,Altera Infrastructure,Bermuda,Altera Infrastructure Norway,Apollo Spirit KS,Norway,Aliaga,Turkey,2020-12-01 00:00:00,,
9056399,CRATEUS,Bulk Carrier,26174,8900,1997,Liberia,Brazil,Companhia de Navegacao Norsul,Brazil,Norwest Navigation SCS,Norwest Navigation SCS,Luxembourg,Chattogram,Bangladesh,2020-03-01 00:00:00,,
8506438,GURU,LPG Tanker,8075,5064,1987,Gabon,Brazil,PETROBRAS,Brazil,TRANSPETRO,TRANSPETRO,Brazil,Alang,India,2020-11-01 00:00:00,,
8506426,GRAJA,LPG Tanker,8075,5073,1987,Gabon,Brazil,PETROBRAS,Brazil,TRANSPETRO,TRANSPETRO,Brazil,Alang,India,2020-10-01 00:00:00,,
8516897,GURU I,LPG Tanker,8075,5080,1987,Gabon,Brazil,PETROBRAS,Brazil,TRANSPETRO,TRANSPETRO,Brazil,Alang,India,2020-11-01 00:00:00,,
7801702,ILY,Products Tanker,13474,6002,1980,St Kitts & Nevis,Brazil,PETROBRAS,Brazil,TRANSPETRO,TRANSPETRO,Brazil,Gadani,Pakistan,2020-10-01 00:00:00,,
7801764,NUSA,Products Tanker,13474,6009,1982,Gabon,Brazil,PETROBRAS,Brazil,TRANSPETRO,TRANSPETRO,Brazil,Chattogram,Bangladesh,2020-12-01 00:00:00,,
7801740,MARLO,Products Tanker,13474,6027,1982,Comoros,Brazil,PETROBRAS,Brazil,TRANSPETRO,TRANSPETRO,Brazil,Alang,India,2020-12-01 00:00:00,,
7801697,DIV,Products Tanker,13474,6029,1980,St Kitts & Nevis,Brazil,PETROBRAS,Brazil,TRANSPETRO,TRANSPETRO,Brazil,Alang,India,2020-05-01 00:00:00,,
7801714,MASA,Products Tanker,13474,6073,1980,Gabon,Brazil,PETROBRAS,Brazil,TRANSPETRO,TRANSPETRO,Brazil,Chattogram,Bangladesh,2020-10-01 00:00:00,,
8617108,LIV,Products Tanker,25803,9420,1997,St Kitts & Nevis,Brazil,PETROBRAS,Brazil,TRANSPETRO,TRANSPETRO,Brazil,Gadani,Pakistan,2020-11-01 00:00:00,,
7902233,SAL,"Bulk Carrier, Self-discharging, Laker",21870,11868,1980,St Kitts & Nevis,Canada,CSL Group Inc,Canada,CSL Group Inc,CSL Group Inc,Canada,Aliaga,Turkey,2020-12-01 00:00:00,,
8131233,BURIN SEA,Anchor Handling Tug Supply,2588,2608,1983,Canada,,Secunda Canada LP,Canada,Secunda Canada LP,3260812 Nova Scotia Ltd,Canada,Aliaga,Turkey,2020-01-01 00:00:00,,
8225486,TRINITY SEA,Anchor Handling Tug Supply,2623,2608,1983,Canada,,Secunda Canada LP,Canada,Secunda Canada LP,3260818 Nova Scotia Ltd,Canada,Aliaga,Turkey,2020-01-01 00:00:00,,
7627962,ANGELIS,Passenger/Ro-Ro Ship (Vehicles),9951,4258,1978,St Kitts & Nevis,Chile,Nisa Navegacion SA,Chile,Navimag Ferries SA,Navimag Ferries SA,Chile,Alang,India,2020-12-01 00:00:00,,
9170664,QING,Bulk Carrier,17784,7289,1998,Palau,Panama,China COSCO Shipping Corp Ltd,China,China COSCO Shipping Corp Ltd,COSCO GUANGZHOU,China,Chattogram,Bangladesh,2020-11-01 00:00:00,,
8712312,FU YUAN YU 7779,Fishing Vessel,608,,1987,China,,Fujian Yaoxiang Marine,China,Fujian Yaoxiang Marine,Fujian Yaoxiang Marine,China,Unknown,China,2020-01-01 00:00:00,,
9033464,FU YUAN YU 7778,Fishing Vessel,615,954,1991,China,,Fujian Yaoxiang Marine,China,Fujian Yaoxiang Marine,Fujian Yaoxiang Marine,China,Unknown,China,2020-01-01 00:00:00,,
9074810,WEI KANG,Open Hatch Cargo Ship,25676,9016,1995,Panama,,Hongyuan Marine Co Ltd,China,Hongyuan Marine Co Ltd,Hongyuan Marine Co Ltd,China  ,Gadani,Pakistan,2020-08-01 00:00:00,,
9131230,ING 1,General Cargo Ship,28148,11845,1998,St Kitts & Nevis,Panama,Hongyuan Marine Co Ltd,China,Hongyuan Marine Co Ltd,Hongyuan Marine Co Ltd,China,Alang,India,2020-12-01 00:00:00,,
8801022,NINGBO,Bulk Carrier,37519,10244,1990,Palau,Hong Kong ,Ningbo Marine Group Co Ltd,China,Ningbo Marine Singapore,Ningbo Pioneer Shipping Co Ltd,Hong Kong,Chattogram,Bangladesh,2020-10-01 00:00:00,,
