VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,FLAG,Unnamed: 7,OWNERSHIP,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,DESTINATION,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,"*The data gathered by the NGO Shipbreaking Platform is sourced from different outlets and stakeholders, and is cross-checked whenever possible.
The data upon which this information is based is correct to the best of the Platform’s knowledge, and the Platform takes no responsibility for the accuracy of the information provided. 
The Platform will correct or complete data if any inaccuracy is signaled. All data which has been provided is publicly available and does not reveal any confidential business information."
IMO#,NAME,TYPE,GT,LDT,BUILT,FLAG,CHANGE OF FLAG FOR BREAKING,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL ,COMMENT,,
9183867,GEOWAVE COMMANDER,Research Survey Vessel,5631,,1998,Norway (Nis),,DOF ASA,Norway,Fjord Shipping AS-Maaloy,Master & Commander AS,Norway,Feda,Norway,2020-12-01 00:00:00,,,
7364601,BURAK A,General Cargo Ship,1245,730,1974,Turkey,,Muhsin Altintas Alden,Turkey,Muhsin Altintas Alden,Muhsin Altintas Alden,Turkey,Aliaga,Turkey,2020-12-01 00:00:00,,,
8638932,ADRIATICO,Bucket Ladder Dredger,840,,1967,Belgium,,Dredging International NV,Belgium,Dredging International NV,Dredging International NV,Belgium,Ghent,Belgium,2021-01-01 00:00:00,,,
9083964,ARGO I,Ore Carrier,146393,38832,1995,St Kitts & Nevis,Isle of Man,Berge Bulk Ltd,Bermuda,Berge Bulk Maritime Pte Ltd,Berge Lhotse Co SA,Panama,Chittagong,Bangladesh,2021-01-01 00:00:00,,,
9538830,BULLY II,Drilling Ship,30270,27147,2011,St Kitts & Nevis,Liberia,Borr Drilling Ltd,Bermuda,Noble Drilling US LLC,Bully 2 Switzerland GmbH,Switzerland,Alang,India,2021-01-01 00:00:00,,,
7726677,ALGOMA ENTERPRISE,"Bulk Carrier, Self-discharging, Laker",23395,9194,1979,Canada,,Algoma Central Corp,Canada,Algoma Central Corp,Algoma Central Corp,Canada,Port Colborne,Canada,2021-01-01 00:00:00,,,
8763581,HAI YANG SHI YOU 102,"FPSO, Oil",35727,15352,1990,China ,,China National Offshore Oil,China ,China Offshore Oil Bohai Corp,China National Offshore Oil,China ,Unknown,China ,2021-01-01 00:00:00,,,
9100229,NAJA ARCTICA,Container Ship (Fully Cellular),11612,5347,1994,Denmark ,,Denmark Govt,Denmark,Royal Arctic Line A/S,Royal Arctic Line A/S,Greenland,Frederikshaven,Denmark,2021-01-01 00:00:00,,,
9100231,NUKA ARCTICA,Container Ship (Fully Cellular),11612,5347,1995,Denmark ,,Denmark Govt,Denmark,Royal Arctic Line A/S,Royal Arctic Line A/S,Greenland,Frederikshaven,Denmark,2021-01-01 00:00:00,,,
