VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,FLAG,Unnamed: 7,OWNERSHIP,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,DESTINATION,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
IMO#,NAME,TYPE,GT,LDT,BUILT,FLAG,FLAG PRIOR LAST VOYAGE,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL ,,"*The data gathered by the NGO Shipbreaking Platform is sourced from different outlets and stakeholders, and is cross-checked whenever possible.
The data upon which this information is based is correct to the best of the Platform’s knowledge, and the Platform takes no responsibility for the accuracy of the information provided. 
The Platform will correct or complete data if any inaccuracy is signaled. All data which has been provided is publicly available and does not reveal any confidential business information."
6922262,SEA NASS,General Cargo Ship,1603,697,1969,Bahrain,,United Cement Co WLL,Bahrain,United Cement Co WLL,United Cement Co WLL,Bahrain,Alang,India,2024-11-01 00:00:00,,
9072226,JAHAN BROTHERS,Bulk Carrier,25899,8032,1994,Bangladesh,,Kabir Steel Re-Rolling Mills,Bangladesh,Brave Royal Ship Management,Maa Shipping Pvt Ltd,Bangladesh,Chittagong,Bangladesh,2024-02-01 00:00:00,,
9159438,KHADEEJAH JAHAN,Bulk Carrier,25074,6994,1997,Bangladesh,,Kabir Steel Re-Rolling Mills,Bangladesh,Brave Royal Ship Management,SR Shipping Ltd,Bangladesh,Chittagong,Bangladesh,2024-06-01 00:00:00,,
7924322,YAZ,General Cargo Ship,2023,1600,1981,Sierra Leone,,Farah Shipping Ltd,Belize,Farah Shipping Ltd,Farah Shipping Ltd,Belize,Aliaga,Turkey,2024-07-01 00:00:00,,
8101628,SOGDIANA,General Cargo Ship,1923,0,1982,Cameroon,,Boyd Lines Ltd,Belize,Boyd Lines Ltd,Boyd Lines Ltd,Belize,Aliaga,Turkey,2024-11-01 00:00:00,,
7380629,LEO,"FPSO, Oil",71176,23590,1975,St Kitts & Nevis,Singapore,BW Offshore Ltd,Bermuda,BW Offshore Holdings Pte Ltd,Tinworth Pte Ltd,Singapore,Alang,India,2024-04-01 00:00:00,,
8754059,A STAR,"Drilling Rig, semi Submersible",12727,14856,1983,St Kitts & Nevis,Liberia,Queiroz Galvao SA,Brazil,Petroleo Constellation SA,Olinda Star Ltd,British Virgin Islands,Alang,India,2024-11-01 00:00:00,,
8753378,KING MAKER,"Production Platform, semi submersible",8345,8800,1973,Panama,,Petroserv SA,Brazil,Petroserv SA,Petro Rio O&G Exploracao,Brazil,Aliaga,Turkey,2024-02-01 00:00:00,,
7711737,ALGOMA TRANSPORT,"Bulk Carrier, Self-discharging, Laker",23399,9148,1979,Canada,,Algoma Central Corp,Canada,Algoma Central Corp,Algoma Central Corp,Canada,Port Colborne,Canada,2024-01-01 00:00:00,,
7310260,ANCIER,Passenger/Ro-Ro Ship (Vehicles),11481,6283,1973,St Kitts & Nevis,Canada,CTMA,Canada,CTMA,Madeleine Navigation Inc,CTMA,Alang,India,2024-02-01 00:00:00,,
9197351,MAPOCHO,Container Ship (Fully Cellular),16986,7297,1999,Germany,,CSAV,Chile,Hapag-Lloyd AG,CSAV Austral SpA,Chile,Aliaga,Turkey,2024-03-01 00:00:00,,
9105463,JIN HAI XI,Bulk Carrier,17057,5973,1995,Sierra Leone,China,Fujian Communication Trans,China,Fujian Communication Trans,Fujian Communication Trans,China,Chittagong,Bangladesh,2024-01-01 00:00:00,,
9077288,GUANGZHOU,Container Ship (Fully Cellular),22738,8895,1994,Palau,China,Trawind Shipping Logistics,China,Trawind Shipping Logistics,Dalian Trawind Shipping Co Ltd,China,Chittagong,Bangladesh,2024-01-01 00:00:00,,
9032692,XIN XIANG AN,Bulk Carrier,13907,5113,1992,Sierra Leone,China,Yangpu Zhehai Shipping Co,China,Shanghai Yang Pu Zhe Hai Shpg,Shanghai Yang Pu Zhe Hai Shpg,China,Chittagong,Bangladesh,2024-02-01 00:00:00,,
9413509,FAR EAST CHEER,Container Ship (Fully Cellular),6253,3651,2007,Sierra Leone,Hong Kong,China United Lines Ltd,China,Hongxin Ship Management Ltd,Far East Cheer Shipping Co Ltd,Hong Kong,Chittagong,Bangladesh,2024-03-01 00:00:00,,
9102734,HONG YUAN 01,Container Ship (Fully Cellular),29181,11481,1996,Gabon,China,Shanghai Xunyuan Shipping Co,China,Shanghai Xunyuan Shipping Co,Shanghai Xunyuan Shipping Co,China,Chittagong,Bangladesh,2024-03-01 00:00:00,,
8981781,HONG YUN YOU 19,Products Tanker,3856,2580,1999,Gabon,China,Nanjing Hongyu Shipping Ltd,China,Nanjing Hongyu Shipping Ltd,Nanjing Hongyu Shipping Ltd,China,Chittagong,Bangladesh,2024-03-01 00:00:00,,
8223476,LU ZHOU,Products Tanker,1357,966,1983,Sierra Leone,Palau,Mei Zi Ma,China,Sino Port Da You Shipping Co,Sino Port Da You Shipping Co,Hong Kong,Chittagong,Bangladesh,2024-04-01 00:00:00,,
9094418,XIN RUN 66,Products Tanker,3807,2908,2004,Gabon,China,Zhejiang Guomao Group Co Ltd,China,Zhoushan Xincheng Yifengrun,Zhoushan Xincheng Yifengrun,China,Chittagong,Bangladesh,2024-04-01 00:00:00,,
9085572,YAMTA,Bulk Carrier,16721,6003,1994,Palau,Hong Kong,Shenzhen Shekou Shpg & Trans,China,Shenzhen Shekou Shpg & Trans,Shenzhen Shekou Shpg & Trans,China,Chittagong,Bangladesh,2024-04-01 00:00:00,,
9175432,LIAN FENG 6,General Cargo Ship,15589,6537,1999,Gabon,China,China COSCO Shipping Corp Ltd,China,COSCO Shipping Specialized-CHR,COSCO Shipping Specialized-CHR,China,Chittagong,Bangladesh,2024-04-01 00:00:00,,
1060007,HONG XI,General Cargo Ship,7654,3621,2008,Palau,China,Fangchenggang Zhongxing Shpg,China,Fangchenggang Zhongxing Shpg,Fangchenggang Zhongxing Shpg,China,Chittagong,Bangladesh,2024-05-01 00:00:00,,
9142007,XIN LV BAO SHI,Bulk Carrier,25933,7957,1996,Sierra Leone,China,Fujian Xiamen Shipping Co Ltd,China,Fujian Xiamen Shipping Co Ltd,Fujian Xiamen Shipping Co Ltd,China,Chittagong,Bangladesh,2024-05-01 00:00:00,,
1046922,BAO DI LONG 8,General Cargo Ship,7142,3133,2006,Sierra Leone,China,Gu QW,China,Gu QW,Gu QW,China,Chittagong,Bangladesh,2024-05-01 00:00:00,,
9086215,HAN JI 2,Platform Supply Ship,2961,2126,1995,Sierra Leone,Unknown,Xingshun Shipping Co Ltd,China,Xingshun Shipping Co Ltd,Xingshun Shipping Co Ltd,China,Chittagong,Bangladesh,2024-05-01 00:00:00,,
8126848,DONG FANG YONG SHI 2,Anchor Handling Tug Supply,1672,0,1983,Panama,,Sinopec Offshore Oilfield Serv,China,Sinopec Offshore Oilfield Serv,Sinopec Offshore Oilfield Serv,China,Chittagong,Bangladesh,2024-05-01 00:00:00,,
9122306,NAGA 2,Container Ship (Fully Cellular),4914,2453,1996,Comoros,Hong Kong,Fujian Xinan Shipping Co Ltd,China,Fujian Xinan Shipping Co Ltd,Fujian Xinan Shipping Co Ltd,China,Chittagong,Bangladesh,2024-05-01 00:00:00,,
9203875,JI HAI ZHONG SHAN,Container Ship (Fully Cellular),3772,2175,1998,Gabon,China,SIPG Changjiang Port Logistics,China,Shanghai Jihai Shipping Co Ltd,Shanghai Jihai Shipping Co Ltd,China,Chittagong,Bangladesh,2024-05-01 00:00:00,,
1061403,BEI FANG MING ZHU,General Cargo Ship,12799,5776,2013,China,,Guangxi Evergreen Shipping,China,Guangxi Evergreen Shipping,Guangxi Evergreen Shipping,China,Chittagong,Bangladesh,2024-05-01 00:00:00,,
1064467,HAI SHUN FENG 8,General Cargo Ship,6476,3402,2004,Gabon,China,Xiamen Haishunfeng Shipping Co,China,Xiamen Haishunfeng Shipping Co,Xiamen Haishunfeng Shipping Co,China,Chittagong,Bangladesh,2024-05-01 00:00:00,,
1060904,ZHONG HONG DA 1,Container Ship (Fully Cellular),8911,3981,2006,Sierra Leone,China,Hainan Zhongda Shipping,China,Hainan Zhongda Shipping,Hainan Zhongda Shipping,China,Chittagong,Bangladesh,2024-05-01 00:00:00,,
1066087,XIN HAO JIANG 206,Bulk Carrier,7719,3328,2008,Gabon,China,Maoming Haojiang Shipping Co,China,Maoming Haojiang Shipping Co,Maoming Haojiang Shipping Co,China,Chittagong,Bangladesh,2024-06-01 00:00:00,,
8876431,KAI 1,Container Ship (Fully Cellular),4879,2404,1994,China,,China Fujian Foreign Trade,China,Fujian Xinan Shipping Co Ltd,Fujian Foreign Trade Centre,China,Chittagong,Bangladesh,2024-06-01 00:00:00,,
