YEAR,IMO,NAME,TYPE,GT,LDT,BUILT,AGE,LAST_FLAG,PLACE,COUNTRY
2012,7705635,International Bulk Carrier S.p.A.,Bulk Carrier,,20586,1978,34,Cambodia,"Alang, India",India
2012,7305502,Bluescope Steel Limited,Ro-Ro/Vehicle Carrier,,,1973,39,Australia,"Alang, India",India
2012,9000948,Teekay Corporation,Tanker,,17081,1991,21,Bahamas,"Alang, India",India
2012,6607525,Abdulla Ahmed Nass,Offshore/Supply Vessel,,,1966,46,Bahrain,"Alang, India",India
2012,8401353,Silvia Shipmanagement Limited,Bulk Carrier,,,1985,27,Panama,"Alang, India",India
2012,8613011,Trireme Vessel Management N.V.,Reefer,,6805,1989,23,Bahamas,"Alang, India",India
2012,7387017,Maritec N.V.,Tanker,,2677,1975,37,Equatorial Guinea,"Alang, India",India
2012,9036507,B+H Ocean Carriers Limited,Bulk Carrier,,,1993,19,St Kitts-Nevis,"Alang, India",India
2012,9007269,Transroll Navegacao S.A.,Ro-Ro/Vehicle Carrier,,,1992,20,Brazil,"Alang, India",India
2012,8501799,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN,Tanker,,,1989,23,Tanzania,"Alang, India",India
2012,8006256,Government of Bulgaria,Bulk Carrier,,7636,1980,32,Bulgaria,"Alang, India",India
2012,8120375,Government of Bulgaria,Bulk Carrier,,7836,1982,30,Bulgaria,"Alang, India",India
2012,8912479,Government of Bulgaria,Container Ship,,6635,1989,23,Bulgaria,"Alang, India",India
2012,8915861,Government of Bulgaria,Other,,4528,1990,22,Bulgaria,"Alang, India",India
2012,8222599,Cosmos Shipping AD,Bulk Carrier,,7755,1984,28,Malta,"Alang, India",India
2012,9038933,Siem Industries Incorporated,Reefer,,5288,1994,18,Comoros,"Alang, India",India
2012,8814304,Siem Industries Incorporated,Reefer,,,1992,20,Liberia,"Alang, India",India
2012,8307870,Empresa Maritima S.A.,Bulk Carrier,,7292,1985,27,Panama,"Alang, India",India
2012,6615106,Government of Chile,Tanker,,,1967,45,Sierra Leone,"Alang, India",India
2012,8811704,Nanjing Ocean Shipping Company Limited,Ro-Ro/Vehicle Carrier,,9210,1990,22,China,"Alang, India",India
2012,8124917,Centrans Ocean Shipping Logistics Group,Container Ship,,14544,1983,29,Hong Kong,"Alang, India",India
2012,8401767,China Ocean Shipping (Group) Company (COSCO),Bulk Carrier,,7989,1984,28,Hong Kong,"Alang, India",India
2012,8913942,Hong Kong Qinfa Shipping Limited,Bulk Carrier,,12157,1990,22,Hong Kong,"Alang, India",India
2012,8323472,View Marine Limited,Bulk Carrier,,,1987,25,Marshall Islands,"Alang, India",India
2012,8314457,ATL Shipping Limited,Bulk Carrier,,10328,1985,27,Panama,"Alang, India",India
2012,8706624,China Ocean Shipping (Group) Company (COSCO),Bulk Carrier,,13990,1988,24,Panama,"Alang, India",India
2012,7932616,Evergood Shipping Limited,Bulk Carrier,,,1981,31,Panama,"Alang, India",India
2012,8322856,Hengfa Shipping Incorporated,Other,,,1984,28,Panama,"Alang, India",India
2012,8400440,Hong Kong Qinfa Shipping Limited,Bulk Carrier,,12553,1984,28,Panama,"Alang, India",India
2012,8209121,Hongyuan Marine Company Limited,Other,,7976,1983,29,Panama,"Alang, India",India
2012,8209638,Hubei Qintai Shipping Company Limited,Other,,8055,1983,29,Panama,"Alang, India",India
2012,8028864,Jinrun Shipping Company Limited,Bulk Carrier,,9180,1983,29,Panama,"Alang, India",India
2012,7908902,Nanjing Hua Hai Shipping Company Limited,Bulk Carrier,,11596,1981,31,Panama,"Alang, India",India
2012,8802430,Oriental Ocean Shipping Holding Private Limited,Bulk Carrier,,24308,1989,23,Panama,"Alang, India",India
2012,8407668,China Ocean Shipping (Group) Company (COSCO),Bulk Carrier,,,1986,26,Sierra Leone,"Alang, India",India
2012,8007987,CSC Nanjing Tanker Corporation,Tanker,,,1982,30,Singapore,"Alang, India",India
2012,8130253,Hongyuan Marine Company Limited,Other,,,1985,27,St Vincent & Grenadines,"Alang, India",India
2012,8421963,Nanjing Ocean Shipping Company Limited,Other,,7560,1986,26,St Vincent & Grenadines,"Alang, India",India
2012,7918268,Fujian Xinan Shipping Company Limited,Bulk Carrier,,11480,1981,31,Tuvalu,"Alang, India",India
2012,8308068,Losinjska Plovidba Brodarstvo d.o.o.,Bulk Carrier,,8029,1986,26,Malta,"Alang, India",India
2012,8318855,Losinjska Plovidba Brodarstvo d.o.o.,Other,,9359,1983,29,St Vincent & Grenadines,"Alang, India",India
2012,7380760,SMT Shipmanagement & Transport Limited,Other,,10627,1975,37,Bahamas,"Alang, India",India
2012,7715965,SMT Shipmanagement & Transport Limited,Other,,14275,1979,33,Bahamas,"Alang, India",India
2012,8009466,Cyprus Maritime Company Limited,Container Ship,,8815,1981,31,Cyprus,"Alang, India",India
2012,7524201,Lemissoler Shipmanagement Company Limited,Other,,,1977,35,Cyprus,"Alang, India",India
2012,7612656,Lemissoler Shipmanagement Company Limited,Other,,6318,1977,35,Cyprus,"Alang, India",India
2012,8421975,Oceanmaris Management Incorporated,Other,,7628,1987,25,Cyprus,"Alang, India",India
2012,7725702,Sadent Shipping Limited,Bulk Carrier,,5150,1979,33,Dominica,"Alang, India",India
2012,8917754,Lemissoler Shipmanagement Company Limited,Bulk Carrier,,20528,1992,20,Liberia,"Alang, India",India
2012,7433062,SP Shipmanagement Limited,Bulk Carrier,,7296,1981,31,Malta,"Alang, India",India
2012,8217025,Lemissoler Shipmanagement Company Limited,Container Ship,,14342,1984,28,Marshall Islands,"Alang, India",India
2012,8204523,Lemissoler Shipmanagement Company Limited,Container Ship,,14180,1984,28,Marshall Islands,"Alang, India",India
2012,9137909,Interorient Navigation Company Limited,Container Ship,,11950,1997,15,St Kitts-Nevis,"Alang, India",India
2012,5312824,Louis plc,Passenger/Cruise Ship,,16007,1958,54,St Kitts-Nevis,"Alang, India",India
2012,9004205,Dania Marine ApS,Container Ship,,4950,1992,20,Malta,"Alang, India",India
